JANコード,名称,単価,消費税
10001042 ,ﾖｰｸﾞﾙﾄ,1080,10
10001035 ,ﾁｰｽﾞｹｰｷ(小),1296,10
10001028 ,ﾁｰｽﾞｹｰｷ(大),1836,10
9700130 ,おにぎり,124,10
10000182 ,ﾒﾛﾝ,0,10
10003497 ,ﾎﾜｲﾄﾌﾚｲｽﾞ(5号),3000,10
4972560515019 ,ほしこがね 平干,1000,10
4902537110626 ,ふわふわ金のﾒﾛﾝ,1404,10
,洋食,,10
,切干芋紅はるか2,,10
4983053011697 ,茨城ｽｲｰﾄﾎﾟﾃﾄ 1,1080,10
4580202110050 ,すいーとぽてと,864,10
10001059 ,ﾖｰｸﾞﾙﾄ(ﾌｧﾐﾘｰ),864,10
4972560505102 ,ｼﾙｸｽｲｰﾄ平切 140,500,10
4980655602797 ,茨城ﾒﾛﾝｹｰｷ,864,10
6000301 ,ｸﾘｽﾏｽｹｰｷ,0,10
,ﾋﾟｰﾏﾝ味,380,10
,ｱﾝﾄﾗｰｽﾞｻﾌﾞﾚ 24,,10
,おすそわけ 丸干,,10
,ｶﾐｽｺｺくんｻﾌﾞﾚ 7,1350,10
,紅はるか130ｇ,,10
,ﾐﾙｸｼｭｰ,250,10
10001394 ,絹ﾌﾟﾘﾝ,270,10
,ｱﾝﾄﾗｰｽﾞｻﾌﾞﾚ 12,,10
,ｵｰﾄﾞﾌﾞﾙ,3500,10
4972560510038 ,ほしこがね 平,500,10
10003503 ,ﾎﾜｲﾄﾌﾚｲｽﾞ(6号),3700,10
10004388 ,中華弁当,618,10
,訳あり干し芋 ｼﾛ,,10
10003435 ,焼きｶﾚｰﾊﾟﾝ,206,10
4954599011779 ,水戸の梅 MU-6 777,777,10
4534319001374 ,ｻｻﾞｶｯﾌﾟｵﾝ 9ﾊﾟｯ,1200,10
4903040160597 ,ぴーなっつ最中,1300,10
,和食,,10
10003329 ,ｻﾝﾄﾞｳｨｯﾁ ﾐｯｸｽ,972,10
